Runtime of the suite program for n going from 0 to 100000

n = 0	Runtime = 9.590003173798323e-07
n = 100	Runtime = 1.3894998119212687e-05
n = 200	Runtime = 1.2714997865259647e-05
n = 300	Runtime = 1.4246001228457317e-05
n = 400	Runtime = 1.4987999747972935e-05
n = 500	Runtime = 4.62079988210462e-05
n = 600	Runtime = 1.6382000467274338e-05
n = 700	Runtime = 3.875800030073151e-05
n = 800	Runtime = 5.8972000260837376e-05
n = 900	Runtime = 1.6573001630604267e-05
n = 1000	Runtime = 1.97669978660997e-05
n = 1100	Runtime = 1.876700116554275e-05
n = 1200	Runtime = 5.4046002333052456e-05
n = 1300	Runtime = 3.327499871375039e-05
n = 1400	Runtime = 3.4970002161571756e-05
n = 1500	Runtime = 2.290900010848418e-05
n = 1600	Runtime = 3.6566001654136926e-05
n = 1700	Runtime = 2.1739000658271834e-05
n = 1800	Runtime = 2.2767002519685775e-05
n = 1900	Runtime = 2.4338998628081754e-05
n = 2000	Runtime = 2.6736001018434763e-05
n = 2100	Runtime = 2.502799907233566e-05
n = 2200	Runtime = 2.5820001610554755e-05
n = 2300	Runtime = 2.843200127244927e-05
n = 2400	Runtime = 2.779899659799412e-05
n = 2500	Runtime = 2.6704001356847584e-05
n = 2600	Runtime = 2.9020997317275032e-05
n = 2700	Runtime = 2.7985999622615054e-05
n = 2800	Runtime = 3.190200004610233e-05
n = 2900	Runtime = 3.102999835391529e-05
n = 3000	Runtime = 3.33460011461284e-05
n = 3100	Runtime = 3.0063998565310612e-05
n = 3200	Runtime = 5.5010998039506376e-05
n = 3300	Runtime = 4.8379999498138204e-05
n = 3400	Runtime = 4.729500142275356e-05
n = 3500	Runtime = 3.649700011010282e-05
n = 3600	Runtime = 3.582900171750225e-05
n = 3700	Runtime = 3.7432000681292266e-05
n = 3800	Runtime = 6.464200123446062e-05
n = 3900	Runtime = 4.0671999158803374e-05
n = 4000	Runtime = 4.1074999899137765e-05
n = 4100	Runtime = 3.562100027920678e-05
n = 4200	Runtime = 4.082700252183713e-05
n = 4300	Runtime = 4.0503000491298735e-05
n = 4400	Runtime = 4.2586001654854044e-05
n = 4500	Runtime = 4.277200059732422e-05
n = 4600	Runtime = 4.6769000618951395e-05
n = 4700	Runtime = 4.5036002120468765e-05
n = 4800	Runtime = 4.7482000809395686e-05
n = 4900	Runtime = 4.680900019593537e-05
n = 5000	Runtime = 4.698499833466485e-05
n = 5100	Runtime = 5.066700032330118e-05
n = 5200	Runtime = 5.149899880052544e-05
n = 5300	Runtime = 5.246799992164597e-05
n = 5400	Runtime = 5.358199996408075e-05
n = 5500	Runtime = 5.540699930861592e-05
n = 5600	Runtime = 5.710299956263043e-05
n = 5700	Runtime = 5.4768999689258635e-05
n = 5800	Runtime = 6.0946000303374603e-05
n = 5900	Runtime = 6.072799806133844e-05
n = 6000	Runtime = 6.198600021889433e-05
n = 6100	Runtime = 6.0287999076535925e-05
n = 6200	Runtime = 5.878099909750745e-05
n = 6300	Runtime = 6.121200203779154e-05
n = 6400	Runtime = 6.719799785059877e-05
n = 6500	Runtime = 6.253099854802713e-05
n = 6600	Runtime = 6.775300062145106e-05
n = 6700	Runtime = 6.449699867516756e-05
n = 6800	Runtime = 6.779800241929479e-05
n = 6900	Runtime = 6.801600102335215e-05
n = 7000	Runtime = 7.089300197549164e-05
n = 7100	Runtime = 7.663900032639503e-05
n = 7200	Runtime = 7.210100011434406e-05
n = 7300	Runtime = 7.291099973372184e-05
n = 7400	Runtime = 7.644500146852806e-05
n = 7500	Runtime = 7.662799907848239e-05
n = 7600	Runtime = 8.003100083442405e-05
n = 7700	Runtime = 8.121000064420514e-05
n = 7800	Runtime = 8.457600051769987e-05
n = 7900	Runtime = 8.347599941771477e-05
n = 8000	Runtime = 8.737400276004337e-05
n = 8100	Runtime = 8.377099948120303e-05
n = 8200	Runtime = 8.193900066544302e-05
n = 8300	Runtime = 8.610199802205898e-05
n = 8400	Runtime = 8.897799853002653e-05
n = 8500	Runtime = 9.064799814950675e-05
n = 8600	Runtime = 9.017100092023611e-05
n = 8700	Runtime = 9.786299779079854e-05
n = 8800	Runtime = 9.478200081503019e-05
n = 8900	Runtime = 9.31370013859123e-05
n = 9000	Runtime = 0.00010118800128111616
n = 9100	Runtime = 9.73109999904409e-05
n = 9200	Runtime = 0.00013465500160236843
n = 9300	Runtime = 9.866500113275833e-05
n = 9400	Runtime = 0.00010341000233893283
n = 9500	Runtime = 0.00010253299842588603
n = 9600	Runtime = 0.00016684599904692732
n = 9700	Runtime = 0.00015257899940479547
n = 9800	Runtime = 0.00015262999659171328
n = 9900	Runtime = 0.00018296400230610743
n = 10000	Runtime = 0.00010872100028791465
n = 10100	Runtime = 0.00011219299994991161
n = 10200	Runtime = 0.00011632399764494039
n = 10300	Runtime = 0.00011451099999248981
n = 10400	Runtime = 0.00011799400090239942
n = 10500	Runtime = 0.00011395999899832532
n = 10600	Runtime = 0.00011992199870292097
n = 10700	Runtime = 0.00011998800255241804
n = 10800	Runtime = 0.0001223680010298267
n = 10900	Runtime = 0.0001308350001636427
n = 11000	Runtime = 0.00012952199904248118
n = 11100	Runtime = 0.0001311129999521654
n = 11200	Runtime = 0.00013361200035433285
n = 11300	Runtime = 0.0001296659975196235
n = 11400	Runtime = 0.0001317390015174169
n = 11500	Runtime = 0.00013927300096838735
n = 11600	Runtime = 0.00014327500321087427
n = 11700	Runtime = 0.0001662659997236915
n = 11800	Runtime = 0.0001437520004401449
n = 11900	Runtime = 0.00014389300122275017
n = 12000	Runtime = 0.00014760200065211393
n = 12100	Runtime = 0.00014499700046144426
n = 12200	Runtime = 0.00020042100004502572
n = 12300	Runtime = 0.00013520400170818903
n = 12400	Runtime = 0.0001382590016874019
n = 12500	Runtime = 0.0001411140001437161
n = 12600	Runtime = 0.00014163300147629343
n = 12700	Runtime = 0.0001413589998264797
n = 12800	Runtime = 0.0001556189999973867
n = 12900	Runtime = 0.00017700900207273662
n = 13000	Runtime = 0.00015357599841081537
n = 13100	Runtime = 0.00018450900097377598
n = 13200	Runtime = 0.0002721579985518474
n = 13300	Runtime = 0.00024122999820974655
n = 13400	Runtime = 0.00022725199960405007
n = 13500	Runtime = 0.0001714449972496368
n = 13600	Runtime = 0.00016638300076010637
n = 13700	Runtime = 0.00020684900300693698
n = 13800	Runtime = 0.00017506099902675487
n = 13900	Runtime = 0.000177720001374837
n = 14000	Runtime = 0.00026177300242125057
n = 14100	Runtime = 0.00017955200019059703
n = 14200	Runtime = 0.0001857229981396813
n = 14300	Runtime = 0.0002144009995390661
n = 14400	Runtime = 0.00017736399968271144
n = 14500	Runtime = 0.00017785299860406667
n = 14600	Runtime = 0.0001827039995987434
n = 14700	Runtime = 0.00019313799930387177
n = 14800	Runtime = 0.0001948670033016242
n = 14900	Runtime = 0.00019388399960007519
n = 15000	Runtime = 0.0001931789993250277
n = 15100	Runtime = 0.00019583399989642203
n = 15200	Runtime = 0.0001982280009542592
n = 15300	Runtime = 0.00020099299945286475
n = 15400	Runtime = 0.0002035610013990663
n = 15500	Runtime = 0.00020089299869141541
n = 15600	Runtime = 0.0002083890030917246
n = 15700	Runtime = 0.00020344999938970432
n = 15800	Runtime = 0.0002067379973595962
n = 15900	Runtime = 0.00020913800108246505
n = 16000	Runtime = 0.00021986800129525363
n = 16100	Runtime = 0.0002153959976567421
n = 16200	Runtime = 0.0002171439991798252
n = 16300	Runtime = 0.0002682559970708098
n = 16400	Runtime = 0.00021639699843944982
n = 16500	Runtime = 0.00021740200099884532
n = 16600	Runtime = 0.00023267099822987802
n = 16700	Runtime = 0.00022620000163442455
n = 16800	Runtime = 0.00022703500144416466
n = 16900	Runtime = 0.00022411499958252534
n = 17000	Runtime = 0.00023220799994305708
n = 17100	Runtime = 0.00022966400138102472
n = 17200	Runtime = 0.00023545099975308403
n = 17300	Runtime = 0.0002481619994796347
n = 17400	Runtime = 0.000244527000177186
n = 17500	Runtime = 0.0002426469982310664
n = 17600	Runtime = 0.0002501009985280689
n = 17700	Runtime = 0.00024444700102321804
n = 17800	Runtime = 0.0002448640007060021
n = 17900	Runtime = 0.00025563400049577467
n = 18000	Runtime = 0.0003024990000994876
n = 18100	Runtime = 0.0002476330009812955
n = 18200	Runtime = 0.0002493110005161725
n = 18300	Runtime = 0.00025285599986091256
n = 18400	Runtime = 0.00040050199822871946
n = 18500	Runtime = 0.00037655900086974725
n = 18600	Runtime = 0.00027242400028626435
n = 18700	Runtime = 0.0002796640001179185
n = 18800	Runtime = 0.0003140240005450323
n = 18900	Runtime = 0.00027274199965177104
n = 19000	Runtime = 0.00027670700001181103
n = 19100	Runtime = 0.00029041399830020964
n = 19200	Runtime = 0.00028125599783379585
n = 19300	Runtime = 0.0003210620016034227
n = 19400	Runtime = 0.0002828700016834773
n = 19500	Runtime = 0.0004390089998196345
n = 19600	Runtime = 0.00043205499969189987
n = 19700	Runtime = 0.0003081949980696663
n = 19800	Runtime = 0.0003304920028313063
n = 19900	Runtime = 0.000308616003167117
n = 20000	Runtime = 0.0003819800003839191
n = 20100	Runtime = 0.0003576909984985832
n = 20200	Runtime = 0.00043332099812687375
n = 20300	Runtime = 0.00037006099955760874
n = 20400	Runtime = 0.000498129000334302
n = 20500	Runtime = 0.00044158799937576987
n = 20600	Runtime = 0.0003345000004628673
n = 20700	Runtime = 0.0003100930007349234
n = 20800	Runtime = 0.0003130270015390124
n = 20900	Runtime = 0.0003103790004388429
n = 21000	Runtime = 0.00031389699870487675
n = 21100	Runtime = 0.0003287879990239162
n = 21200	Runtime = 0.0003222659979655873
n = 21300	Runtime = 0.00032204600211116485
n = 21400	Runtime = 0.0003272339999966789
n = 21500	Runtime = 0.00033822900149971247
n = 21600	Runtime = 0.0003782189996854868
n = 21700	Runtime = 0.0003377819994057063
n = 21800	Runtime = 0.0003466559974185657
n = 21900	Runtime = 0.00034010700255748816
n = 22000	Runtime = 0.00034697599767241627
n = 22100	Runtime = 0.00038488399877678603
n = 22200	Runtime = 0.00035459399805404246
n = 22300	Runtime = 0.0003535089999786578
n = 22400	Runtime = 0.000361885002348572
n = 22500	Runtime = 0.0003638099988165777
n = 22600	Runtime = 0.0003583450015867129
n = 22700	Runtime = 0.000431325999670662
n = 22800	Runtime = 0.0004047559996251948
n = 22900	Runtime = 0.0003683800023281947
n = 23000	Runtime = 0.00039445699803764
n = 23100	Runtime = 0.0005596600021817721
