Average runtime of the hanoi program for n going from 0 to 100000 with 20 tests

n = 0	Runtime = 9.729992598295212e-07
n = 100	Runtime = 1.3237000530352816e-05
n = 200	Runtime = 1.3025000953348354e-05
n = 300	Runtime = 3.5221997677581385e-05
n = 400	Runtime = 2.79990017588716e-05
n = 500	Runtime = 1.591199907124974e-05
n = 600	Runtime = 1.644100120756775e-05
n = 700	Runtime = 3.091699909418821e-05
n = 800	Runtime = 5.962500290479511e-05
n = 900	Runtime = 3.576800008886494e-05
n = 1000	Runtime = 2.0278999727452174e-05
n = 1100	Runtime = 3.1964002118911594e-05
n = 1200	Runtime = 4.844800059800036e-05
n = 1300	Runtime = 1.9479000911815092e-05
n = 1400	Runtime = 2.282599962200038e-05
n = 1500	Runtime = 4.969300061929971e-05
n = 1600	Runtime = 2.3557000531582162e-05
n = 1700	Runtime = 3.4808999771485105e-05
n = 1800	Runtime = 2.273800055263564e-05
n = 1900	Runtime = 2.4572000256739557e-05
n = 2000	Runtime = 2.659199890331365e-05
n = 2100	Runtime = 2.4966000637505203e-05
n = 2200	Runtime = 2.6196998078376055e-05
n = 2300	Runtime = 2.8073998691979796e-05
n = 2400	Runtime = 2.8004000341752544e-05
n = 2500	Runtime = 2.6450001314515248e-05
n = 2600	Runtime = 2.8835998818976805e-05
n = 2700	Runtime = 2.813800165313296e-05
n = 2800	Runtime = 3.1906998628983274e-05
n = 2900	Runtime = 3.0905001040082425e-05
n = 3000	Runtime = 3.319999814266339e-05
n = 3100	Runtime = 2.989000131492503e-05
n = 3200	Runtime = 3.4517001040512696e-05
n = 3300	Runtime = 3.469399962341413e-05
n = 3400	Runtime = 3.410699719097465e-05
n = 3500	Runtime = 3.6127999919699505e-05
n = 3600	Runtime = 6.25810025667306e-05
n = 3700	Runtime = 5.0253998779226094e-05
n = 3800	Runtime = 3.8420999771915376e-05
n = 3900	Runtime = 4.103600076632574e-05
n = 4000	Runtime = 5.48269999853801e-05
n = 4100	Runtime = 3.640300201368518e-05
n = 4200	Runtime = 4.2129999201279134e-05
n = 4300	Runtime = 4.129599983571097e-05
n = 4400	Runtime = 5.644600241794251e-05
n = 4500	Runtime = 4.4046002585673705e-05
n = 4600	Runtime = 4.795600034412928e-05
n = 4700	Runtime = 4.611899930750951e-05
n = 4800	Runtime = 4.8986999900080264e-05
n = 4900	Runtime = 4.756999987876043e-05
n = 5000	Runtime = 4.8222998884739354e-05
n = 5100	Runtime = 6.38089986750856e-05
n = 5200	Runtime = 5.1676997827598825e-05
n = 5300	Runtime = 5.237699951976538e-05
n = 5400	Runtime = 5.329000123310834e-05
n = 5500	Runtime = 5.516600140254013e-05
n = 5600	Runtime = 5.708700336981565e-05
n = 5700	Runtime = 5.4768999689258635e-05
n = 5800	Runtime = 6.029699943610467e-05
n = 5900	Runtime = 6.004000169923529e-05
n = 6000	Runtime = 6.221699732122943e-05
n = 6100	Runtime = 5.996899926685728e-05
n = 6200	Runtime = 5.885899736313149e-05
n = 6300	Runtime = 6.014300015522167e-05
n = 6400	Runtime = 6.651899821008556e-05
n = 6500	Runtime = 6.212399966898374e-05
n = 6600	Runtime = 6.712700269417837e-05
n = 6700	Runtime = 6.413799928850494e-05
n = 6800	Runtime = 6.726299761794508e-05
n = 6900	Runtime = 6.821799979661591e-05
n = 7000	Runtime = 7.034499867586419e-05
n = 7100	Runtime = 7.648099926882423e-05
n = 7200	Runtime = 7.177199950092472e-05
n = 7300	Runtime = 7.275300231412984e-05
n = 7400	Runtime = 7.610299871885218e-05
n = 7500	Runtime = 7.608200030517764e-05
n = 7600	Runtime = 7.904199810582213e-05
n = 7700	Runtime = 8.016399806365371e-05
n = 7800	Runtime = 8.335999882547185e-05
n = 7900	Runtime = 8.198399882530794e-05
n = 8000	Runtime = 8.680799874127842e-05
n = 8100	Runtime = 8.346100003109314e-05
n = 8200	Runtime = 8.168699787347578e-05
n = 8300	Runtime = 8.612100282334723e-05
n = 8400	Runtime = 8.904100104700774e-05
n = 8500	Runtime = 0.00012160899859736674
n = 8600	Runtime = 8.999300189316273e-05
n = 8700	Runtime = 9.499799853074364e-05
n = 8800	Runtime = 9.494100231677294e-05
n = 8900	Runtime = 9.257299825549126e-05
