Runtime of the suite program for n going from 0 to 20

n = 0	Runtime = 6.990012479946017e-07
n = 1	Runtime = 2.2099993657320738e-07
n = 2	Runtime = 4.849971446674317e-07
n = 3	Runtime = 6.090012902859598e-07
n = 4	Runtime = 9.830000635702163e-07
n = 5	Runtime = 1.4920005924068391e-06
n = 6	Runtime = 2.2860003809910268e-06
n = 7	Runtime = 3.6240016925148666e-06
n = 8	Runtime = 5.920999683439732e-06
n = 9	Runtime = 3.015500260517001e-05
n = 10	Runtime = 1.5208999684546143e-05
n = 11	Runtime = 3.3906999306054786e-05
n = 12	Runtime = 7.815100252628326e-05
n = 13	Runtime = 0.00011389300198061392
n = 14	Runtime = 0.0001002589997369796
n = 15	Runtime = 0.00016435200086561963
n = 16	Runtime = 0.00026523300039116293
n = 17	Runtime = 0.0004710770008387044
n = 18	Runtime = 0.0006901550004840828
n = 19	Runtime = 0.0010844650023500435
n = 20	Runtime = 0.0018267579980602022


Total runtime of the test session is 0.00494272799915052 seconds
