Average runtime of the hanoi program for n going from 0 to 20 with 20 tests

n = 0	Runtime = 6.43001840217039e-07
n = 1	Runtime = 2.0700099412351847e-07
n = 2	Runtime = 5.369984137360007e-07
n = 3	Runtime = 6.080008461140096e-07
n = 4	Runtime = 9.089999366551638e-07
n = 5	Runtime = 1.5510013327002525e-06
n = 6	Runtime = 2.3169995984062552e-06
n = 7	Runtime = 3.7819991121068597e-06
n = 8	Runtime = 5.769001290900633e-06
n = 9	Runtime = 9.35600110096857e-06
n = 10	Runtime = 1.5080000594025478e-05
n = 11	Runtime = 2.40339977608528e-05
n = 12	Runtime = 3.843000013148412e-05
n = 13	Runtime = 6.246300108614378e-05
n = 14	Runtime = 0.0001127560026361607
n = 15	Runtime = 0.00015958100266288966
n = 16	Runtime = 0.00025755000024219044
n = 17	Runtime = 0.00041283500104327686
n = 18	Runtime = 0.0009031769986904692
n = 19	Runtime = 0.0011031059984816238
n = 20	Runtime = 0.0017084559985960368
