Runtime of the suite program for n going from 0 to 10000

n = 0	Runtime = 1.0030016710516065e-06
n = 100	Runtime = 2.6180001441389322e-05
n = 200	Runtime = 2.2086001990828663e-05
n = 300	Runtime = 3.4202999813714996e-05
n = 400	Runtime = 8.799100032774732e-05
n = 500	Runtime = 7.569799709017389e-05
n = 600	Runtime = 8.752600115258247e-05
n = 700	Runtime = 0.00011262699990766123
n = 800	Runtime = 0.0001875179987109732
n = 900	Runtime = 0.00014040700261830352
n = 1000	Runtime = 0.00012797800081898458
n = 1100	Runtime = 0.0001631539998925291
n = 1200	Runtime = 0.00018519899822422303
n = 1300	Runtime = 0.000253526999586029
n = 1400	Runtime = 0.0002102859980368521
n = 1500	Runtime = 0.00024212000062107109
n = 1600	Runtime = 0.00024330800079042092
n = 1700	Runtime = 0.00026672899912227876
n = 1800	Runtime = 0.00028650399690377526
n = 1900	Runtime = 0.0003050619998248294
n = 2000	Runtime = 0.00032814099904499017
n = 2100	Runtime = 0.0003479110018815845
n = 2200	Runtime = 0.0003707130017573945
n = 2300	Runtime = 0.0003945700009353459
n = 2400	Runtime = 0.00045466600204235874
n = 2500	Runtime = 0.0004613009987224359
n = 2600	Runtime = 0.00047341800018330105
n = 2700	Runtime = 0.0005003950027457904
n = 2800	Runtime = 0.000527371001226129
n = 2900	Runtime = 0.0005459909989440348
n = 3000	Runtime = 0.0005725800001528114
n = 3100	Runtime = 0.0005999469976813998
n = 3200	Runtime = 0.0006735009992553387
n = 3300	Runtime = 0.0006700060002913233
n = 3400	Runtime = 0.0009247839989257045
n = 3500	Runtime = 0.0007112239982234314
n = 3600	Runtime = 0.0007211550000647549
n = 3700	Runtime = 0.0009363869976368733
n = 3800	Runtime = 0.0009510259988019243
n = 3900	Runtime = 0.0009990850012400188
n = 4000	Runtime = 0.0008726870000828058
n = 4100	Runtime = 0.0009359510004287586
n = 4200	Runtime = 0.0009044920006999746
n = 4300	Runtime = 0.0009315119968960062
n = 4400	Runtime = 0.0009662800002843142
n = 4500	Runtime = 0.0010339740001654718
n = 4600	Runtime = 0.0010606059986457694
n = 4700	Runtime = 0.0010673210017557722
n = 4800	Runtime = 0.0010983700012729969
n = 4900	Runtime = 0.0012053450009261724
n = 5000	Runtime = 0.001228313998581143
n = 5100	Runtime = 0.0012488790016504936
n = 5200	Runtime = 0.0013288599984662142
n = 5300	Runtime = 0.0018471549992682412
n = 5400	Runtime = 0.0015058450007927604
n = 5500	Runtime = 0.0013692410029761959
n = 5600	Runtime = 0.001356848999421345
n = 5700	Runtime = 0.0014377339975908399
n = 5800	Runtime = 0.0014520110016746912
n = 5900	Runtime = 0.0014302849995146971
n = 6000	Runtime = 0.0014924229981261306
n = 6100	Runtime = 0.0014676020000479184
n = 6200	Runtime = 0.0014937439991626889
n = 6300	Runtime = 0.0015411759995913599
n = 6400	Runtime = 0.0018206789973191917
n = 6500	Runtime = 0.0016018070018617436
n = 6600	Runtime = 0.0015719479997642338
n = 6700	Runtime = 0.0018839119984477293
n = 6800	Runtime = 0.001841934001276968
n = 6900	Runtime = 0.0017459639966546092
n = 7000	Runtime = 0.0017807549993449356
n = 7100	Runtime = 0.0017073399976652581
n = 7200	Runtime = 0.0017765140000847168
n = 7300	Runtime = 0.001955636998900445
n = 7400	Runtime = 0.0019431850014370866
n = 7500	Runtime = 0.0018133990015485324
n = 7600	Runtime = 0.0018824050021066796
n = 7700	Runtime = 0.0019560280015866738
n = 7800	Runtime = 0.0019003419984073844
n = 7900	Runtime = 0.001968687000044156
n = 8000	Runtime = 0.0020532759990601335
n = 8100	Runtime = 0.00209786699997494
n = 8200	Runtime = 0.002600077998067718
n = 8300	Runtime = 0.002048595000815112
n = 8400	Runtime = 0.002067285000521224
n = 8500	Runtime = 0.0021394139985204674
n = 8600	Runtime = 0.002167073002055986
n = 8700	Runtime = 0.0021474040004250128
n = 8800	Runtime = 0.002176261001295643
n = 8900	Runtime = 0.0025443800004723016
n = 9000	Runtime = 0.002390741999988677
n = 9100	Runtime = 0.0026901549972535577
n = 9200	Runtime = 0.00253582900040783
n = 9300	Runtime = 0.002558586002123775
n = 9400	Runtime = 0.0033595280001463834
n = 9500	Runtime = 0.002947170996776549
n = 9600	Runtime = 0.002965925999887986
n = 9700	Runtime = 0.0026916049973806366
n = 9800	Runtime = 0.002690781999262981
n = 9900	Runtime = 0.00261754199891584
n = 10000	Runtime = 0.002707257997826673


Total runtime of the test session is 0.12726820599709754 seconds
