Runtime of the suite program for n going from 0 to 30

n = 0	Runtime = 1.158001396106556e-06
n = 1	Runtime = 5.070032784715295e-07
n = 2	Runtime = 1.4110009942669421e-06
n = 3	Runtime = 1.0320000001229346e-06
n = 4	Runtime = 8.450006134808064e-07
n = 5	Runtime = 9.34000127017498e-07
n = 6	Runtime = 1.0110015864484012e-06
n = 7	Runtime = 1.0669973562471569e-06
n = 8	Runtime = 1.1310003174003214e-06
n = 9	Runtime = 1.2139971659053117e-06
n = 10	Runtime = 1.4170000213198364e-06
n = 11	Runtime = 1.5740006347186863e-06
n = 12	Runtime = 1.686999894445762e-06
n = 13	Runtime = 1.987002178793773e-06
n = 14	Runtime = 1.8419996195007116e-06
n = 15	Runtime = 1.9519975467119366e-06
n = 16	Runtime = 2.1279993234202266e-06
n = 17	Runtime = 2.2710009943693876e-06
n = 18	Runtime = 2.3840002540964633e-06
n = 19	Runtime = 2.4090004444587976e-06
n = 20	Runtime = 2.410997694823891e-06
n = 21	Runtime = 2.531000063754618e-06
n = 22	Runtime = 2.6369998522568494e-06
n = 23	Runtime = 2.669003151822835e-06
n = 24	Runtime = 2.734999725362286e-06
n = 25	Runtime = 2.882999979192391e-06
n = 26	Runtime = 2.9340008040890098e-06
n = 27	Runtime = 3.159999323543161e-06
n = 28	Runtime = 3.2089992600958794e-06
n = 29	Runtime = 3.2530006137676537e-06
n = 30	Runtime = 3.4229997254442424e-06


Total runtime of the test session is 0.00012327800141065381 seconds
