Runtime of the fibonacci program for n going from 0 to 100

n = 0	Runtime = 6.030004442436621e-07
n = 1	Runtime = 2.6899942895397544e-07
n = 2	Runtime = 7.17000148142688e-07
n = 3	Runtime = 7.899998308857903e-07
n = 4	Runtime = 7.85999873187393e-07
n = 5	Runtime = 8.349998097401112e-07
n = 6	Runtime = 9.55000359681435e-07
n = 7	Runtime = 1.0669991752365604e-06
n = 8	Runtime = 1.1300016922177747e-06
n = 9	Runtime = 1.2330001482041553e-06
n = 10	Runtime = 1.3850003597326577e-06
n = 11	Runtime = 1.460999556002207e-06
n = 12	Runtime = 1.5850000636419281e-06
n = 13	Runtime = 1.6949998098425567e-06
n = 14	Runtime = 1.7860002117231488e-06
n = 15	Runtime = 1.8900009308708832e-06
n = 16	Runtime = 1.9730014173546806e-06
n = 17	Runtime = 2.0530005713226274e-06
n = 18	Runtime = 1.442700158804655e-05
n = 19	Runtime = 2.197000867454335e-06
n = 20	Runtime = 2.299000698258169e-06
n = 21	Runtime = 2.4359997041756287e-06
n = 22	Runtime = 2.5600002118153498e-06
n = 23	Runtime = 1.580299976922106e-05
n = 24	Runtime = 2.7740006771637127e-06
n = 25	Runtime = 2.8559989004861563e-06
n = 26	Runtime = 2.97599945042748e-06
n = 27	Runtime = 3.1380004656966776e-06
n = 28	Runtime = 3.4269996831426397e-06
n = 29	Runtime = 3.3809992601163685e-06
n = 30	Runtime = 3.451999873504974e-06
n = 31	Runtime = 1.640899972699117e-05
n = 32	Runtime = 3.6889996408717707e-06
n = 33	Runtime = 3.760000254260376e-06
n = 34	Runtime = 3.966000804211944e-06
n = 35	Runtime = 3.905999619746581e-06
n = 36	Runtime = 4.076000550412573e-06
n = 37	Runtime = 4.15800059272442e-06
n = 38	Runtime = 4.3119998736074194e-06
n = 39	Runtime = 4.35599940828979e-06
n = 40	Runtime = 4.3910004023928195e-06
n = 41	Runtime = 4.518999048741534e-06
n = 42	Runtime = 4.632000127458014e-06
n = 43	Runtime = 4.6410004870267585e-06
n = 44	Runtime = 1.8044000171357766e-05
n = 45	Runtime = 4.933999662171118e-06
n = 46	Runtime = 5.028001396567561e-06
n = 47	Runtime = 5.1579991122707725e-06
n = 48	Runtime = 5.228999725659378e-06
n = 49	Runtime = 5.359999704523943e-06
n = 50	Runtime = 5.404001058195718e-06
n = 51	Runtime = 5.534000592888333e-06
n = 52	Runtime = 5.583000529441051e-06
n = 53	Runtime = 2.673800008778926e-05
n = 54	Runtime = 5.609999789157882e-06
n = 55	Runtime = 5.75199919694569e-06
n = 56	Runtime = 5.855999916093424e-06
n = 57	Runtime = 6.03199987381231e-06
n = 58	Runtime = 6.061000021873042e-06
n = 59	Runtime = 6.185000529512763e-06
n = 60	Runtime = 6.16899887972977e-06
n = 61	Runtime = 6.638001650571823e-06
n = 62	Runtime = 6.579999535460956e-06
n = 63	Runtime = 6.655000106547959e-06
n = 64	Runtime = 6.800999472034164e-06
n = 65	Runtime = 6.889000360388309e-06
n = 66	Runtime = 6.8989993451396e-06
n = 67	Runtime = 1.9588998839026317e-05
n = 68	Runtime = 6.969999958528206e-06
n = 69	Runtime = 6.9569996412610635e-06
n = 70	Runtime = 7.103999450919218e-06
n = 71	Runtime = 7.1759986894903705e-06
n = 72	Runtime = 7.261000064318068e-06
n = 73	Runtime = 7.366001227637753e-06
n = 74	Runtime = 7.500999345211312e-06
n = 75	Runtime = 7.68999962019734e-06
n = 76	Runtime = 7.787999493302777e-06
n = 77	Runtime = 7.972999810590409e-06
n = 78	Runtime = 7.98399923951365e-06
n = 79	Runtime = 8.152999726007693e-06
n = 80	Runtime = 8.14200029708445e-06
n = 81	Runtime = 8.288998287753202e-06
n = 82	Runtime = 8.353999874088913e-06
n = 83	Runtime = 8.500999683747068e-06
n = 84	Runtime = 8.5279989434639e-06
n = 85	Runtime = 8.757000614423305e-06
n = 86	Runtime = 8.801000149105676e-06
n = 87	Runtime = 8.808001439319924e-06
n = 88	Runtime = 8.913000783650205e-06
n = 89	Runtime = 9.091001629712991e-06
n = 90	Runtime = 9.089000741369091e-06
n = 91	Runtime = 9.372999556944706e-06
n = 92	Runtime = 9.513998520560563e-06
n = 93	Runtime = 9.579000106896274e-06
n = 94	Runtime = 9.709001460578293e-06
n = 95	Runtime = 9.774999853107147e-06
n = 96	Runtime = 9.85000042419415e-06
n = 97	Runtime = 9.956998837878928e-06
n = 98	Runtime = 1.0035999366664328e-05
n = 99	Runtime = 1.0159999874304049e-05
n = 100	Runtime = 1.025100027618464e-05


Total runtime of the test session is 0.0007816859997546999 seconds
