Runtime of the suite program for n going from 0 to 10000

n = 0	Runtime = 1.2270002116565593e-06
n = 100	Runtime = 1.6095000319182873e-05
n = 200	Runtime = 1.3477000720740762e-05
n = 300	Runtime = 1.5380000149889383e-05
n = 400	Runtime = 1.6192999282793608e-05
n = 500	Runtime = 1.6787999811640475e-05
n = 600	Runtime = 1.6693000361556187e-05
n = 700	Runtime = 1.8447999536874704e-05
n = 800	Runtime = 1.876299938885495e-05
n = 900	Runtime = 3.054100034205476e-05
n = 1000	Runtime = 1.9578999854275025e-05
n = 1100	Runtime = 1.9094999515800737e-05
n = 1200	Runtime = 2.037699960055761e-05
n = 1300	Runtime = 1.9895000150427222e-05
n = 1400	Runtime = 2.227000004495494e-05
n = 1500	Runtime = 2.3399000383506063e-05
n = 1600	Runtime = 2.3736000002827495e-05
n = 1700	Runtime = 2.19470002775779e-05
n = 1800	Runtime = 2.276800023537362e-05
n = 1900	Runtime = 2.4275000214402098e-05
n = 2000	Runtime = 2.6747999982035253e-05
n = 2100	Runtime = 2.5088000256801024e-05
n = 2200	Runtime = 2.6542999876255635e-05
n = 2300	Runtime = 2.8540000130305998e-05
n = 2400	Runtime = 2.7832999876409303e-05
n = 2500	Runtime = 3.9787999412510544e-05
n = 2600	Runtime = 2.915699951699935e-05
n = 2700	Runtime = 4.159099989919923e-05
n = 2800	Runtime = 3.1477000447921455e-05
n = 2900	Runtime = 3.058000038436148e-05
n = 3000	Runtime = 3.3399000130884815e-05
n = 3100	Runtime = 2.994900023622904e-05
n = 3200	Runtime = 3.434100017329911e-05
n = 3300	Runtime = 3.415100036363583e-05
n = 3400	Runtime = 3.3305000215477776e-05
n = 3500	Runtime = 3.646599998319289e-05
n = 3600	Runtime = 3.5322999792697374e-05
n = 3700	Runtime = 3.7060000067867804e-05
n = 3800	Runtime = 3.7587999941024464e-05
n = 3900	Runtime = 4.099999932805076e-05
n = 4000	Runtime = 4.147100025875261e-05
n = 4100	Runtime = 3.611800002545351e-05
n = 4200	Runtime = 4.113500017410843e-05
n = 4300	Runtime = 6.935000055818819e-05
n = 4400	Runtime = 5.7328999901073985e-05
n = 4500	Runtime = 5.771199994342169e-05
n = 4600	Runtime = 4.868399992119521e-05
n = 4700	Runtime = 4.67589998152107e-05
n = 4800	Runtime = 4.953700045007281e-05
n = 4900	Runtime = 5.9035999584011734e-05
n = 5000	Runtime = 4.7554999582644086e-05
n = 5100	Runtime = 6.651400053669931e-05
n = 5200	Runtime = 5.471700023917947e-05
n = 5300	Runtime = 5.52929996047169e-05
n = 5400	Runtime = 5.5097000768000726e-05
n = 5500	Runtime = 5.7903000197256915e-05
n = 5600	Runtime = 7.381300019915216e-05
n = 5700	Runtime = 5.702399994333973e-05
n = 5800	Runtime = 6.358500013448065e-05
n = 5900	Runtime = 6.434700026147766e-05
n = 6000	Runtime = 6.487300015578512e-05
n = 6100	Runtime = 6.424999992304947e-05
n = 6200	Runtime = 6.17360001342604e-05
n = 6300	Runtime = 6.293599926721072e-05
n = 6400	Runtime = 9.655000030761585e-05
n = 6500	Runtime = 6.572799975401722e-05
n = 6600	Runtime = 7.014899983914802e-05
n = 6700	Runtime = 6.793500051571755e-05
n = 6800	Runtime = 7.07159997546114e-05
n = 6900	Runtime = 7.663900032639503e-05
n = 7000	Runtime = 7.407300017803209e-05
n = 7100	Runtime = 9.352300003229175e-05
n = 7200	Runtime = 8.821699975669617e-05
n = 7300	Runtime = 7.509200077038258e-05
n = 7400	Runtime = 9.281100028601941e-05
n = 7500	Runtime = 9.237799986294704e-05
n = 7600	Runtime = 0.00012100900039513363
n = 7700	Runtime = 0.00011056399944209261
n = 7800	Runtime = 0.00011601500045799185
n = 7900	Runtime = 0.0001273869993383414
n = 8000	Runtime = 0.00013006500012124889
n = 8100	Runtime = 8.839700058160815e-05
n = 8200	Runtime = 0.00011103199994977331
n = 8300	Runtime = 0.00010217299950454617
n = 8400	Runtime = 0.00011843599986605113
n = 8500	Runtime = 0.00011222200009797234
n = 8600	Runtime = 0.00011227699997107266
n = 8700	Runtime = 0.00010340699918742757
n = 8800	Runtime = 0.00010007200035033748
n = 8900	Runtime = 9.782000051927753e-05
n = 9000	Runtime = 0.00010781600030895788
n = 9100	Runtime = 0.00011116200039396062
n = 9200	Runtime = 0.00010760700024547987
n = 9300	Runtime = 0.00011436399927333696
n = 9400	Runtime = 0.00010705099975893972
n = 9500	Runtime = 0.00010588999975880142
n = 9600	Runtime = 0.00011438599995017285
n = 9700	Runtime = 0.00011411199920985382
n = 9800	Runtime = 0.0001129749998654006
n = 9900	Runtime = 0.00011523899956955574
n = 10000	Runtime = 0.00011536500005604466


Total runtime of the test session is 0.0063780469999983325 seconds
