Runtime of the suite program for n going from 0 to 30

n = 0	Runtime = 8.869974408298731e-07
n = 1	Runtime = 3.0600131140090525e-07
n = 2	Runtime = 8.540009730495512e-07
n = 3	Runtime = 8.440001693088561e-07
n = 4	Runtime = 1.0850017133634537e-06
n = 5	Runtime = 1.5529985830653459e-06
n = 6	Runtime = 2.4510009097866714e-06
n = 7	Runtime = 3.933000698452815e-06
n = 8	Runtime = 6.291000318014994e-06
n = 9	Runtime = 1.0043997463071719e-05
n = 10	Runtime = 1.6150999726960436e-05
n = 11	Runtime = 2.6302001060685143e-05
n = 12	Runtime = 4.221199924359098e-05
n = 13	Runtime = 6.345400106511079e-05
n = 14	Runtime = 0.0001087119999283459
n = 15	Runtime = 0.0001648659999773372
n = 16	Runtime = 0.00026790400079335086
n = 17	Runtime = 0.0004298940002627205
n = 18	Runtime = 0.0006947699985175859
n = 19	Runtime = 0.00141068599987193
n = 20	Runtime = 0.0022145930015540216
n = 21	Runtime = 0.003054513999813935
n = 22	Runtime = 0.005475840000144672
n = 23	Runtime = 0.008596624997153413
n = 24	Runtime = 0.013496061001205817
n = 25	Runtime = 0.022519291000207886
n = 26	Runtime = 0.035973366000689566
n = 27	Runtime = 0.05663602099957643
n = 28	Runtime = 0.09440352900128346
n = 29	Runtime = 0.15031652499965276
n = 30	Runtime = 0.2451263779985311


Total runtime of the test session is 0.6412631310013239 seconds
