Runtime of the hanoi program for n going from 1 to 15

n = 1	Runtime = 7.800008461344987e-07
n = 2	Runtime = 4.970024747308344e-07
n = 3	Runtime = 7.840026228222996e-07
n = 4	Runtime = 1.4090001059230417e-06
n = 5	Runtime = 2.7329988370183855e-06
n = 6	Runtime = 5.359001079341397e-06
n = 7	Runtime = 1.0664996807463467e-05
n = 8	Runtime = 2.157800190616399e-05
n = 9	Runtime = 4.189600076642819e-05
n = 10	Runtime = 0.00012094400153728202
n = 11	Runtime = 0.00017914500131155364
n = 12	Runtime = 0.00035826299790642224
n = 13	Runtime = 0.0006818319998274092
n = 14	Runtime = 0.0013655199982167687
n = 15	Runtime = 0.0029869110003346577


Total runtime of the test session is 0.005826085001899628 seconds
