Runtime of the bubble_sort program for n going from 0 to 2000

n = 0	Runtime = 7.380003808066249e-07
n = 100	Runtime = 0.002045332001216593
n = 200	Runtime = 0.007869400000345195
n = 300	Runtime = 0.01951608700073848
n = 400	Runtime = 0.03255648000049405
n = 500	Runtime = 0.05117717800021637
n = 600	Runtime = 0.07233548799922573
n = 700	Runtime = 0.09729296000114118
n = 800	Runtime = 0.12773469000057958
n = 900	Runtime = 0.16206687100020645
n = 1000	Runtime = 0.19250065599953814
n = 1100	Runtime = 0.2395922129999235
n = 1200	Runtime = 0.28617122899959213
n = 1300	Runtime = 0.33172756699968886
n = 1400	Runtime = 0.37488820100043085
n = 1500	Runtime = 0.4505070870000054
n = 1600	Runtime = 0.4985828059998312
n = 1700	Runtime = 0.5604984340006922
n = 1800	Runtime = 0.6291061409992835
n = 1900	Runtime = 0.7195583379998425


Total runtime of the test session is 4.857764696000231 seconds
