Runtime of the hanoi program for n going from 0 to 15

n = 1	Runtime = 7.700000423938036e-07
n = 2	Runtime = 6.999980541877449e-07
n = 3	Runtime = 8.309980330523103e-07
n = 4	Runtime = 1.4060024113859981e-06
n = 5	Runtime = 2.848999429261312e-06
n = 6	Runtime = 5.847003194503486e-06
n = 7	Runtime = 1.0828000085894018e-05
n = 8	Runtime = 2.1061998268123716e-05
n = 9	Runtime = 4.215599983581342e-05
n = 10	Runtime = 8.497599992551841e-05
n = 11	Runtime = 0.00016947400217759423
n = 12	Runtime = 0.00034900600076070987
n = 13	Runtime = 0.0007243999971251469
n = 14	Runtime = 0.0013709470003959723
n = 15	Runtime = 0.0027007930002582725


Total runtime of the test session is 0.005573197999183321 seconds
